buurt_idx,mean_distance,std_distance,mean_pct_100m,mean_pct_250m,mean_pct_500m,total_addresses,n_observations,percentage_met_herkomstland_buiten_europa,personenautos_per_huishouden,bevolkingsdichtheid_inwoners_per_km2,percentage_koopwoningen,buurtcode,gemiddeld_inkomen_per_inwoner,gemiddeld_inkomen_per_ontvanger,gemiddelde_woz_waarde,pct_huishoudens_laag_inkomen,pct_personen_laagste_40,pct_personen_hoogste_20,buurtnaam
0,,,,,,0,0,,,,,BU05189998,,,,,,,Buitenwater
1,2253.9544723496065,965.5496549527613,0.0,0.0,0.0,1,8781,,,21.0,,BU05031600,,,,,,,De Bras
2,,,,,,0,0,,,,,BU05180170,,,,,,,Oostduinen
3,280.9438297833798,179.86242075167064,18.97544255287,59.46945916630619,86.29269497765925,4088,8781,22.0,0.7,7900.0,,BU05180271,42.4,52.6,503.0,3.9,38.0,32.0,Belgisch Park
4,512.6438025992113,250.76744394672778,2.8067844917841356,22.99010738304448,57.3785889680101,662,8781,21.0,0.9,2644.0,,BU05180373,65.5,80.1,712.0,4.1,34.7,38.4,Westbroekpark
5,773.5212510458359,198.49709792783275,1.1496042086565332,12.973748457704202,19.12953869604155,676,8781,22.0,1.1,1006.0,,BU05180374,63.3,82.1,720.0,2.2,31.5,40.2,Duttendel
6,304.81439380877833,139.18689175744063,5.264920413377838,42.905842335769,88.2058014028998,774,8781,24.0,0.9,5779.0,,BU05180448,67.3,88.9,776.0,4.5,26.8,49.6,Nassaubuurt
7,501.3796914515564,204.0521236765042,2.6007164276592762,19.656577650913132,54.11724833366846,1293,8781,28.0,0.8,7935.0,,BU05180475,51.0,64.2,491.0,3.5,25.9,43.7,Uilennest
8,376.35575957262023,362.0746136421947,11.474687918116961,47.396502166510246,82.67704504690238,1803,8781,24.0,0.9,3767.0,,BU05180476,54.2,63.1,524.0,3.4,26.3,42.4,Duinzigt
9,496.22901257151165,181.3623384933115,3.63468337561487,13.710625602205818,56.15261464696698,1758,8781,22.0,0.9,6378.0,,BU05180477,57.1,78.2,776.0,3.7,27.3,51.8,Waalsdorp
10,386.093145982146,150.21320127922144,8.551854917226855,24.117051700935598,74.84794314228384,1136,8781,29.0,0.9,3500.0,,BU05180478,57.5,76.4,520.0,9.9,28.2,50.2,Arendsdorp
11,248.38176070912473,198.93332730787117,20.55317145245248,67.19820469472205,90.213260263795,1084,8781,22.0,0.8,9551.0,,BU05180479,56.1,74.7,671.0,3.3,25.4,52.5,Van Hoytemastraat e.o.
12,334.09121077084626,153.47339546719914,7.694758301808263,37.52359310065562,83.7256666492654,3678,8781,26.0,0.7,7309.0,,BU05180546,59.6,72.5,639.0,5.1,32.7,37.5,Archipelbuurt
13,546.9202432797608,124.6233719733367,0.0,0.0,38.026633428068344,455,8781,25.0,1.0,746.0,,BU05180605,68.0,87.0,920.0,4.5,30.9,43.0,Van Stolkpark en Scheveningse Bosjes
14,256.6915308393982,132.03670461355046,11.063447130361084,58.038491940829786,92.63349078005723,1764,8781,16.0,0.6,10016.0,,BU05180701,33.3,40.2,331.0,5.7,41.4,20.8,Oud Scheveningen
