buurt_idx,mean_distance,std_distance,mean_pct_100m,mean_pct_250m,mean_pct_500m,total_addresses,n_observations,percentage_met_herkomstland_buiten_europa,personenautos_per_huishouden,bevolkingsdichtheid_inwoners_per_km2,percentage_koopwoningen,buurtcode,gemiddeld_inkomen_per_inwoner,gemiddeld_inkomen_per_ontvanger,gemiddelde_woz_waarde,pct_huishoudens_laag_inkomen,pct_personen_laagste_40,pct_personen_hoogste_20,buurtnaam
0,,,,,,0,0,,,,,BU05189998,,,,,,,Buitenwater
1,5138.2510698514825,210.26256506976773,0.0,0.0,0.0,1,7417,,,21.0,,BU05031600,,,,,,,De Bras
2,,,,,,0,0,,,,,BU05180170,,,,,,,Oostduinen
3,209.09284856106436,71.13784242505074,23.008261419856588,71.64697340720676,94.54767792929292,4088,7417,22.0,0.7,7900.0,,BU05180271,42.4,52.6,503.0,3.9,38.0,32.0,Belgisch Park
4,435.94392181566445,197.22699576336893,2.9850791865018187,32.63786915581784,65.244862887455,662,7417,21.0,0.9,2644.0,,BU05180373,65.5,80.1,712.0,4.1,34.7,38.4,Westbroekpark
5,755.3018317373289,156.1267193168439,0.21221039463953353,11.85087353297598,16.925693652755182,676,7417,22.0,1.1,1006.0,,BU05180374,63.3,82.1,720.0,2.2,31.5,40.2,Duttendel
6,249.30508214709047,132.07755357407348,15.92294954777749,59.508448187504165,90.72659046070224,774,7417,24.0,0.9,5779.0,,BU05180448,67.3,88.9,776.0,4.5,26.8,49.6,Nassaubuurt
7,516.390862860265,181.10492784166289,1.7444092035384942,15.466141879908209,50.06152647171101,1293,7417,28.0,0.8,7935.0,,BU05180475,51.0,64.2,491.0,3.5,25.9,43.7,Uilennest
8,399.5148551599225,377.9822546435161,10.58474367208608,48.58226566646111,81.34083749231932,1803,7417,24.0,0.9,3767.0,,BU05180476,54.2,63.1,524.0,3.4,26.3,42.4,Duinzigt
9,611.7514950655509,102.62335527298897,1.005852710841849,5.861860256155991,26.88479852038709,1758,7417,22.0,0.9,6378.0,,BU05180477,57.1,78.2,776.0,3.7,27.3,51.8,Waalsdorp
10,351.6474617292423,109.95038412934261,7.4227792262541135,27.724102129291865,81.77788417168782,1136,7417,29.0,0.9,3500.0,,BU05180478,57.5,76.4,520.0,9.9,28.2,50.2,Arendsdorp
11,280.4571080672016,174.28931361255385,15.912581398970254,55.3941354433094,86.9614011294488,1084,7417,22.0,0.8,9551.0,,BU05180479,56.1,74.7,671.0,3.3,25.4,52.5,Van Hoytemastraat e.o.
12,295.5216295362077,103.82836573530605,9.004104366737408,42.33266859058629,90.3014531744197,3678,7417,26.0,0.7,7309.0,,BU05180546,59.6,72.5,639.0,5.1,32.7,37.5,Archipelbuurt
13,342.2161838535497,154.0234021774224,9.06557107446955,35.87923199895695,76.66121932536925,455,7417,25.0,1.0,746.0,,BU05180605,68.0,87.0,920.0,4.5,30.9,43.0,Van Stolkpark en Scheveningse Bosjes
14,187.60439125802264,86.45114360760606,21.763769999483323,75.99811305583758,98.21398380933425,1764,7417,16.0,0.6,10016.0,,BU05180701,33.3,40.2,331.0,5.7,41.4,20.8,Oud Scheveningen
15,240.43449889030424,76.57956929393183,9.945051788869641,62.35249469982506,95.49348840876573,2948,7417,18.0,0.8,5556.0,,BU05180702,36.6,44.8,372.0,3.4,38.5,24.6,Vissershaven
16,173.3501943781363,66.52120550317845,24.444775198571758,79.89427562889021,98.99693072931456,3146,7417,22.0,0.6,8795.0,,BU05180703,37.9,46.0,405.0,4.9,34.7,27.9,Scheveningen Badplaats
17,212.2942169557858,80.7662129754088,17.722345089543747,68.87259218922883,97.07070035672986,2213,7417,21.0,0.6,15034.0,,BU05180704,34.4,42.3,376.0,6.5,43.5,21.4,Visserijbuurt
18,252.54368518019163,68.22052925619616,5.222447568696411,52.52599691909616,97.99531840309352,940,7417,18.0,0.6,7060.0,,BU05180772,40.0,48.4,478.0,4.7,38.6,28.7,Rijslag
19,677.0305951205908,72.84165169711596,0.0,2.4209217287224662,26.72598951257717,2719,7417,11.0,0.7,6343.0,,BU05180800,28.6,35.8,331.0,4.1,42.4,16.1,Duindorp
20,261.68602303414485,83.37914589378532,10.228703442941004,55.05471881095448,92.61316874570211,5180,7417,24.0,0.7,10350.0,,BU05180907,54.2,70.9,674.0,4.6,31.1,41.2,Statenkwartier
21,289.8110021363253,93.9760037616361,9.192883551318737,46.184308620467554,89.64741773427002,2289,7417,18.0,0.7,14028.0,,BU05180908,33.7,41.9,391.0,3.8,37.6,23.0,Geuzenkwartier
22,291.30924455996166,101.86911884807945,4.730880880267424,47.81233364218398,88.15129861374973,407,7417,23.0,1.0,835.0,,BU05181041,64.6,78.6,896.0,6.1,25.4,46.6,Zorgvliet
23,259.98757980056484,114.16895611314143,10.157088919909915,54.84017414095014,92.71507168107142,1634,7417,23.0,0.6,12965.0,,BU05181142,44.6,54.5,448.0,4.6,25.4,37.7,Stadhoudersplantsoen
24,228.40313894735422,95.51156323337949,16.789780972513,62.93345666323535,95.05808227603414,3033,7417,24.0,0.6,13825.0,,BU05181143,51.1,63.9,554.0,4.0,28.8,41.2,Sweelinckplein e.o.
25,1114.0698237710733,67.2231920457268,0.0,0.0,0.0,1107,7417,15.0,0.9,8155.0,,BU05181250,41.5,50.1,491.0,1.2,27.4,35.1,Bloemenbuurt-West
26,483.21498707280585,71.91355347170243,2.076824076898994,18.72927458847247,53.481436114600164,3207,7417,19.0,0.7,10879.0,,BU05181251,37.6,46.3,391.0,2.8,30.4,30.7,Bloemenbuurt-Oost
27,238.16329866283814,74.68872899187083,15.834801534692446,57.001984207323055,96.40603315589503,3433,7417,22.0,0.6,11608.0,,BU05181252,37.0,45.6,396.0,4.1,33.7,29.7,Bomenbuurt
28,876.2553600407941,115.03865350605187,1.0019163911058877,7.8065985473667086,33.495474516570404,2076,7417,17.0,1.2,2050.0,,BU05181309,52.3,69.6,868.0,2.2,30.9,45.9,Vogelwijk
29,1707.4504646008008,87.19994186672645,0.0,0.0,0.0,210,7417,20.0,0.9,824.0,,BU05181481,,,437.0,2.0,27.6,32.2,Bosjes van Pex
30,2461.601086554558,68.55078745109516,0.0,0.0,0.0,2968,7417,20.0,0.7,5882.0,,BU05181492,39.1,44.3,361.0,2.6,33.9,25.9,Bohemen en Meer en Bos
31,3603.5934782075606,116.88282362478832,0.0,0.0,0.0,550,7417,22.0,1.3,377.0,,BU05181590,52.6,63.7,566.0,3.3,32.2,38.2,Ockenburgh
32,2912.7951236867725,53.16659112766286,0.0,0.0,0.0,1002,7417,13.0,0.9,1628.0,,BU05181591,45.2,52.6,644.0,2.1,32.7,33.2,Kijkduin
33,3950.8983965576267,389.85349490349876,0.0,0.0,0.0,3319,7417,25.0,1.1,3198.0,,BU05181697,41.0,54.6,526.0,4.5,30.4,34.2,Kraayenstein en Vroondaal
34,2772.701053342385,535.2461640925989,0.0,0.0,0.0,201,7417,49.0,,190.0,,BU05181785,,,82.0,,,,Kerketuinen en Zichtenburg
35,2233.026711816801,337.6086943796665,0.0,0.0,0.0,5534,7417,31.0,0.8,8913.0,,BU05181786,30.0,37.1,338.0,3.6,39.2,17.8,Houtwijk
36,3114.5650412576915,253.9020821766653,0.0,0.0,0.0,2997,7417,21.0,0.6,11049.0,,BU05181795,29.3,34.2,252.0,3.6,42.5,12.4,Kom Loosduinen
37,3063.5179457925565,181.36188114079377,0.0,0.0,0.0,1194,7417,31.0,0.6,9895.0,,BU05181806,28.0,33.5,253.0,5.1,46.0,12.7,Waldeck-Zuid
38,2447.9736702623654,159.5389112738431,0.0,0.0,0.0,3640,7417,32.0,0.7,11952.0,,BU05181840,24.9,31.2,270.0,6.0,48.6,10.0,Nieuw Waldeck
39,1616.565526539713,127.16763374408286,0.0,0.0,0.0,1995,7417,25.0,0.6,6593.0,,BU05181882,33.6,38.4,302.0,4.1,38.6,18.3,Rosenburg
40,2231.7104415508547,119.86427197482067,0.0,0.0,0.0,1166,7417,19.0,0.7,12360.0,,BU05181893,39.8,45.7,384.0,1.4,27.9,27.7,Componistenbuurt
41,3004.843151090833,112.04566020453835,0.0,0.0,0.0,2180,7417,21.0,0.7,9393.0,,BU05181894,35.1,38.3,278.0,2.4,35.4,17.0,Waldeck-Noord
42,1137.964240855918,140.96700859163417,0.0,0.0,2.2870548161679656,3202,7417,17.0,0.8,13543.0,,BU05181953,39.2,49.2,441.0,1.9,28.8,34.9,Vruchtenbuurt
43,1182.673816338217,135.8965567001219,0.0,0.0,0.0,1314,7417,19.0,0.7,5285.0,,BU05181983,36.4,43.9,370.0,2.2,30.2,29.1,Eykenduinen
44,310.06719451855645,118.52503386645179,6.670943363452395,42.41705554827847,86.99061744561088,3794,7417,30.0,0.5,16798.0,,BU05182054,30.2,36.9,283.0,4.6,38.5,18.3,Heesterbuurt
45,216.33677289480102,73.6129453990145,16.05843478338705,66.7679039461325,97.0244112297811,6025,7417,34.0,0.5,17873.0,,BU05182055,33.7,40.4,316.0,5.6,36.1,22.2,Valkenboskwartier
46,292.3707058221204,138.90026170924318,11.2112515524135,51.028444374789586,85.94935871423762,3491,7417,43.0,0.5,13549.0,,BU05182110,31.8,38.4,293.0,6.7,39.2,19.6,Rond de Energiecentrale
47,219.60484266842514,110.64560285935221,17.47725316915484,70.06802136377942,94.81002827802044,4047,7417,29.0,0.5,18414.0,,BU05182144,37.9,45.6,396.0,6.2,34.7,28.1,Koningsplein e.o.
48,244.12042738034896,86.2233265110339,12.733513452034922,59.00593947318669,94.73487790015841,7160,7417,36.0,0.4,15745.0,,BU05182245,39.2,46.8,393.0,6.7,38.5,27.2,Zeeheldenkwartier
49,206.99121467264968,94.96204010994347,17.888116271063346,71.20555376154351,97.43010518312231,1187,7417,31.0,0.6,5256.0,,BU05182347,61.0,73.0,530.0,5.1,27.4,39.5,Willemspark
50,279.8097642391754,72.16041871065464,27.958133502828122,68.79787104271396,82.27225742663252,420,7417,28.0,0.7,397.0,,BU05182449,51.5,56.4,271.0,6.3,28.7,33.9,Haagse Bos
51,1702.5706500746005,73.39137008122556,0.0,0.0,0.0,2982,7417,47.0,0.7,8705.0,,BU05182561,29.3,36.3,251.0,6.4,44.7,16.6,Landen
52,550.3020165405289,73.85152209604163,0.0,0.06015417581401892,35.619200493851025,1590,7417,46.0,0.6,4765.0,,BU05182567,31.3,39.1,254.0,6.0,41.4,20.0,Kampen
53,1746.5848171263733,93.36022082199104,0.0,0.0,0.49452669668111354,377,7417,23.0,1.2,878.0,,BU05182568,58.8,78.0,863.0,2.0,29.7,50.1,Marlot
54,1067.7213273620994,75.74184324987053,0.0,0.0,0.0,3880,7417,42.0,0.6,7114.0,,BU05182569,32.7,39.6,255.0,4.6,38.4,20.2,Burgen en Horsten
55,210.55565482813913,51.094142375909016,13.222775918293081,70.5567743961332,99.44506181417138,3067,7417,52.0,0.4,9343.0,,BU05182664,35.9,42.4,294.0,8.1,38.7,24.2,Bezuidenhout-West
56,159.68466242543676,43.48581985731787,31.16935772583322,84.24448195298511,99.64766529148359,2495,7417,32.0,0.8,8673.0,,BU05182665,47.0,60.0,463.0,4.3,25.6,43.7,Bezuidenhout-Midden
