buurt_idx,mean_distance,std_distance,mean_pct_100m,mean_pct_250m,mean_pct_500m,total_addresses,n_observations,percentage_met_herkomstland_buiten_europa,personenautos_per_huishouden,bevolkingsdichtheid_inwoners_per_km2,percentage_koopwoningen,buurtcode,gemiddeld_inkomen_per_inwoner,gemiddeld_inkomen_per_ontvanger,gemiddelde_woz_waarde,pct_huishoudens_laag_inkomen,pct_personen_laagste_40,pct_personen_hoogste_20,buurtnaam
0,,,,,,0,0,,,,,BU05189998,,,,,,,Buitenwater
1,2806.3906318451973,709.1744095484223,0.0,0.0,0.0,1,8469,,,21.0,,BU05031600,,,,,,,De Bras
2,,,,,,0,0,,,,,BU05180170,,,,,,,Oostduinen
3,206.83246506510068,85.40238058917916,24.26302534464938,73.23112218407226,94.24734019015824,4088,8469,22.0,0.7,7900.0,,BU05180271,42.4,52.6,503.0,3.9,38.0,32.0,Belgisch Park
4,345.2691450859749,207.00018937968696,4.192025724527948,48.00341676182445,82.04905111551315,662,8469,21.0,0.9,2644.0,,BU05180373,65.5,80.1,712.0,4.1,34.7,38.4,Westbroekpark
5,694.455609542939,143.31182901197627,1.2185059189064749,15.481243462932339,22.245855228361563,676,8469,22.0,1.1,1006.0,,BU05180374,63.3,82.1,720.0,2.2,31.5,40.2,Duttendel
6,264.3972556175631,92.51241680840718,6.181718216581342,50.558001014796936,95.56784539937873,774,8469,24.0,0.9,5779.0,,BU05180448,67.3,88.9,776.0,4.5,26.8,49.6,Nassaubuurt
7,490.6846331252623,181.89135102321706,2.624274491099289,19.83463278156439,54.80375770164734,1293,8469,28.0,0.8,7935.0,,BU05180475,51.0,64.2,491.0,3.5,25.9,43.7,Uilennest
8,319.37786082114746,268.7641212831606,12.488946179164925,51.828760229389005,86.59356458879394,1803,8469,24.0,0.9,3767.0,,BU05180476,54.2,63.1,524.0,3.4,26.3,42.4,Duinzigt
9,430.45111462460324,115.6346424972487,4.40689063278495,16.382467490685094,67.31827016579639,1758,8469,22.0,0.9,6378.0,,BU05180477,57.1,78.2,776.0,3.7,27.3,51.8,Waalsdorp
10,349.3121955988165,100.32884557661725,9.780439930882972,27.30612182957231,80.83773630090853,1136,8469,29.0,0.9,3500.0,,BU05180478,57.5,76.4,520.0,9.9,28.2,50.2,Arendsdorp
11,225.55309631320827,172.67664725948177,21.986753076882522,72.14882669549331,92.02290402287657,1084,8469,22.0,0.8,9551.0,,BU05180479,56.1,74.7,671.0,3.3,25.4,52.5,Van Hoytemastraat e.o.
12,282.79534613812666,120.06237981780882,10.85755547324147,47.63468995551765,90.42044776936852,3678,8469,26.0,0.7,7309.0,,BU05180546,59.6,72.5,639.0,5.1,32.7,37.5,Archipelbuurt
13,421.31336036012044,149.89983627467052,4.5510517348987065,18.19014142074716,62.78691906747167,455,8469,25.0,1.0,746.0,,BU05180605,68.0,87.0,920.0,4.5,30.9,43.0,Van Stolkpark en Scheveningse Bosjes
14,200.12766975478996,81.79566386109985,15.838161532964428,73.50082828424006,97.71563169291016,1764,8469,16.0,0.6,10016.0,,BU05180701,33.3,40.2,331.0,5.7,41.4,20.8,Oud Scheveningen
15,188.51902102548632,51.85075942055535,19.351888834576354,79.209221499497,98.2969495420524,2948,8469,18.0,0.8,5556.0,,BU05180702,36.6,44.8,372.0,3.4,38.5,24.6,Vissershaven
16,157.41801677781234,69.81246788831321,27.893284486850323,86.3668303915623,98.81528587450721,3146,8469,22.0,0.6,8795.0,,BU05180703,37.9,46.0,405.0,4.9,34.7,27.9,Scheveningen Badplaats
17,283.614988020118,109.1940320909063,10.455617166181204,45.89423365201506,90.34397638616838,2213,8469,21.0,0.6,15034.0,,BU05180704,34.4,42.3,376.0,6.5,43.5,21.4,Visserijbuurt
18,238.0235424182731,89.37556344843637,8.964282753370869,62.58875297392492,96.53405536587756,940,8469,18.0,0.6,7060.0,,BU05180772,40.0,48.4,478.0,4.7,38.6,28.7,Rijslag
19,313.14320963001745,147.40247276353293,7.905846695893828,43.32077384447469,85.33668276197236,2719,8469,11.0,0.7,6343.0,,BU05180800,28.6,35.8,331.0,4.1,42.4,16.1,Duindorp
20,186.23834586126148,54.38553940339557,19.017438571104883,78.90293967871013,98.66262649472002,5180,8469,24.0,0.7,10350.0,,BU05180907,54.2,70.9,674.0,4.6,31.1,41.2,Statenkwartier
21,189.1024899734054,56.45140880201516,19.87721157743289,76.08520701073031,99.02715637391807,2289,8469,18.0,0.7,14028.0,,BU05180908,33.7,41.9,391.0,3.8,37.6,23.0,Geuzenkwartier
22,230.0145572877433,68.88760957836523,6.44837669279752,66.78979240084448,95.97105558848386,407,8469,23.0,1.0,835.0,,BU05181041,64.6,78.6,896.0,6.1,25.4,46.6,Zorgvliet
23,222.65505202898674,94.13975907089845,13.19120796661682,65.5706903122671,97.47294221433688,1634,8469,23.0,0.6,12965.0,,BU05181142,44.6,54.5,448.0,4.6,25.4,37.7,Stadhoudersplantsoen
24,204.0730911252481,81.51761858726674,19.272331507353073,70.76517733436158,97.2239945555788,3033,8469,24.0,0.6,13825.0,,BU05181143,51.1,63.9,554.0,4.0,28.8,41.2,Sweelinckplein e.o.
25,404.1550137215552,153.84246881483313,3.4125733865674945,24.198247650205868,67.0563123941154,1107,8469,15.0,0.9,8155.0,,BU05181250,41.5,50.1,491.0,1.2,27.4,35.1,Bloemenbuurt-West
26,270.76180773911136,86.0890155587941,5.90572201123244,45.99729315996568,94.69187557342885,3207,8469,19.0,0.7,10879.0,,BU05181251,37.6,46.3,391.0,2.8,30.4,30.7,Bloemenbuurt-Oost
27,243.0746919064617,78.08173935448995,13.314156112333334,55.99627805897329,96.21348598615874,3433,8469,22.0,0.6,11608.0,,BU05181252,37.0,45.6,396.0,4.1,33.7,29.7,Bomenbuurt
28,436.10374820977245,118.32912125010462,1.7392059582141464,19.159323212323034,70.81628998971881,2076,8469,17.0,1.2,2050.0,,BU05181309,52.3,69.6,868.0,2.2,30.9,45.9,Vogelwijk
29,393.89207551894077,251.44524813708662,0.0,37.538023829203425,77.30524208738873,210,8469,20.0,0.9,824.0,,BU05181481,,,437.0,2.0,27.6,32.2,Bosjes van Pex
30,467.49927090379686,174.17491365428765,1.4075036306504234,19.65950657527262,61.502995386058366,2968,8469,20.0,0.7,5882.0,,BU05181492,39.1,44.3,361.0,2.6,33.9,25.9,Bohemen en Meer en Bos
31,710.1438166773692,92.70938415911431,0.0,0.0,33.24464624995975,550,8469,22.0,1.3,377.0,,BU05181590,52.6,63.7,566.0,3.3,32.2,38.2,Ockenburgh
32,407.1185763601792,220.715565229273,9.265846627679815,43.07071298423345,70.13243556575597,1002,8469,13.0,0.9,1628.0,,BU05181591,45.2,52.6,644.0,2.1,32.7,33.2,Kijkduin
33,940.2346582468783,272.0073875562977,2.3686905055536185,9.36409486758346,30.148127917099853,3319,8469,25.0,1.1,3198.0,,BU05181697,41.0,54.6,526.0,4.5,30.4,34.2,Kraayenstein en Vroondaal
34,731.6147903841235,147.16160638946076,0.0,0.0,0.7189228024477918,201,8469,49.0,,190.0,,BU05181785,,,82.0,,,,Kerketuinen en Zichtenburg
35,413.7724877700705,124.0547447537994,5.2441026976379295,26.980420482054857,69.25865770453973,5534,8469,31.0,0.8,8913.0,,BU05181786,30.0,37.1,338.0,3.6,39.2,17.8,Houtwijk
36,380.36699539560817,209.08185930352082,5.62793674928126,33.59244630547815,79.07602174536486,2997,8469,21.0,0.6,11049.0,,BU05181795,29.3,34.2,252.0,3.6,42.5,12.4,Kom Loosduinen
37,354.24454626570184,150.88899908531988,0.0,16.541241255674205,90.35346765709525,1194,8469,31.0,0.6,9895.0,,BU05181806,28.0,33.5,253.0,5.1,46.0,12.7,Waldeck-Zuid
